ninds_aff_name,mean_funding
dri biosciences corporation,192852.0
"drvision technologies, llc",693604.33
duke university,300527.49
duquesne university,148253.71
dyax corporation,100000.0
dynadx corporation,99994.0
dystonia medical research foundation,12500.0
east bay institute for research and educ,80020.0
east carolina university,178539.23
east tennessee state university,144574.65
eastern maine medical center,15029.0
eastern virginia medical school,180343.81
eberhard karl university of tuebingen,129937.5
"echelon biosciences, inc.",93749.0
ecm biosciences,137492.0
ecole polytechnique federale de lausanne,197472.0
"edj associates, inc.",2346874.33
"effigene pharmaceuticals, inc.",99960.0
"eic laboratories, inc.",361158.74
eicom usa,348954.0
"eicosis, llc",133136.0
"ekam imaging, inc.",99189.0
ekos corporation,688428.2
eleanor roosevelt inst for cancer res,91231.25
"electrical geodesics, inc.",332811.62
"electronic biosciences, inc.",456794.75
electrosonics medical inc,143609.0
electrosonics medical inc.,488102.33
"elgavish paramagnetics, inc.",131482.0
emanuel hospital and health center,355977.95
emerson college,160385.0
emma pendleton bradley hospital,5000.0
emmanuel college,357300.0
emmes corporation,1055586.77
emory university,268098.76
"empi, inc.",206287.33
"encore path, inc.",121521.0
"endomedix, inc.",401165.4
"endomimetics, llc",553378.0
enlightened technologies associates,99997.0
environmental health research & testing,50000.0
"enzerna biosciences, llc",222710.0
"eolas therapeutics, inc.",94062.4
eon corporation,125874.0
epicenter software,175218.21
"epigen biosciences, inc.",219253.2
"epitel, inc.",595982.8
"epivax, inc.",168437.5
erasmus university of rotterdam,461398.6
ernest gallo clinic and research center,151851.69
essen bioscience,24900.0
eunice kennedy shriver ctr mtl retardatn,192041.06
european molecular biology laboratory,17105.45
evanston hospital,198323.75
evanston northwestern healthcare,287235.67
"exemplar genetics, llc",478775.33
exscien corporation,224989.0
eye and ear institute of pittsburgh,144485.0
faculty of medicine of timone,26635.5
families of spinal muscular atrophy,11131.58
"fawkes biotechnology, llc",197824.0
federal university of bahia,126948.0
federation of amer soc for exper biology,7601.57
feinstein institute for medical research,446315.45
"ferro solutions, inc.",658270.4
"ffa sciences, llc",224002.0
"fhc, inc.",270606.29
field museum of natural history,32537.33
"fieldline, inc.",109583.5
"flint hills scientific, llc",176376.85
florida agricultural and mechanical univ,192821.14
florida atlantic university,247804.53
florida international university,186389.57
florida state university,178740.8
"focal, inc.",100000.0
"focalcool, llc",341050.0
fondazone cent/san raffaele/del monte,233746.82
fordham university,177951.22
"foster-miller, inc.",130488.45
foundation/biomed res/academy/athens,119738.5
fox chase cancer center,265744.57
"fox learning systems, inc.",394567.0
"fractal systems, inc.",99510.0
fred hutchinson can res ctr,377962.0
fred hutchinson cancer res ctr,292290.0
fred hutchinson cancer research center,405018.23
free university of brussels-jette campus,188091.0
"freeflow medical devices, llc",245001.0
friedreich's ataxia research alliance,15072.73
"friends research institute, inc.",55727.0
fundacao faculdade de medicina,55075.62
furman university,127756.0
geisinger clinic,256022.5
geisinger commonwealth school of medicine,203740.0
"geneprime, llc.",311046.0
"geneprotech, inc",139635.0
general electric global research ctr,270116.0
geneva foundation,458758.43
"genpathway, inc.",177369.33
"gentuity, llc",449350.33
genzyme corporation,
george mason university,181287.06
george washington university,244794.03
georgetown university,228939.17
georgia  health sciences university,204143.07
georgia  regents university,201603.6
georgia college and state university,381357.0
georgia institute of technology,210306.42
georgia state university,147558.87
"giner, inc.",269921.0
"gismo therapeutics, inc.",192063.0
glaxosmithkline,107307.0
"gliamed, inc.",230795.43
"gliatech, inc.",273032.5
"good samaritan hosp & med ctr(prtlnd,or)",176779.63
good samaritan hospital,164791.5
gordon research conferences,9488.74
goteborg university,207811.4
graduate hospital (philadelphia),226703.67
graham johnson,134250.0
graves electronics,99910.0
graymatter research,535567.75
great lakes neurotechnologies,493667.83
greenwood genetic center,326750.67
grinnell college,266557.29
"group operations, inc.",1233.0
"guilford pharmaceuticals, inc.",97500.0
guthrie foundation for education and res,175228.14
gvd corporation,247745.67
"h-cubed, inc.",517874.0
h. lee moffitt cancer ctr & res inst,126515.0
hadassah-hebrew university medical ctr,255294.6
"hager biosciences, inc.",224995.0
"halimed pharmaceuticals, inc.",441864.0
hamilton college,206884.1
hampshire college,102890.0
hannover medical school,152211.0
hanover school of veterinary medicine,99900.0
harris frc corporation,619075.5
"harvard bioscience, inc.",229391.5
harvard medical school,293555.16
harvard school of public health,354118.83
harvard university,407531.3
harvard university (medical school),238643.91
harvard university (sch of public hlth),232882.45
haverford college,162856.83
"hawaii biotech, inc.",1980450.33
"health protection research, inc.",348750.0
"health research analysis, inc.",99510.0
healthone alliance,170938.67
healthpartners research foundation,219711.0
hebrew university of jerusalem,215539.96
helen hayes hospital,165915.23
henry ford health system,340490.45
henry m. jackson fdn for the adv mil/med,211040.8
herbert h. lehman college,215867.5
"herbst research, inc.",298453.14
hereditary disease foundation,366455.4
hhmi cold spring harbor laboratory,
"highland instruments, inc.",576079.0
"hillhurst biopharmaceuticals, inc.",349670.0
"hmd therapeutics, inc.",154895.0
hong kong univ of science & technology,166665.5
hood college,232500.0
hope pharmaceuticals,449753.5
hopital marie lannelongue,125000.0
hospital for joint diseases ortho inst,63910.33
hospital for sick chldrn (toronto),136378.8
"houston biotechnology, inc.",50000.0
howard university,403241.03
hugo w. moser res inst kennedy krieger,283257.5
human biomolecular research institute,801616.8
hunter college,304764.98
huntington medical research institutes,332692.54
"hybernia medical, llc",384405.0
ibm thomas j. watson research center,260760.14
"icagen, inc.",99147.0
icahn school of medicine at mount sinai,421681.58
"ichor medical systems, inc.",249345.6
icogenex corporation,123756.67
idaho state university,236205.0
"ihealthscreen, inc.",133123.0
illinois institute of technology,429991.9
illinois state university,91217.0
im systems,255000.38
"image-guided neurologics, inc.",419027.0
"imaging biometrics, llc",105081.0
"imarx therapeutics, inc.",442339.0
"immersivetouch, inc.",426806.67
immudx,100000.0
"immunarray usa, inc.",496078.0
"immune disease institute, inc.",226094.8
"in cytu, inc.",833303.5
"in vitro strategies, llc",49002.0
inarian- neurodiagnostic,254737.0
ind solutions,21500.0
indiana univ-purdue univ at indianapolis,288353.97
indiana university,
indiana university bloomington,184901.23
"infinite biomedical technologies, llc",373110.79
"infinity conference group, inc.",68991.6
"inflamacore, llc",514558.67
"inflame therapeutics, inc.",577613.0
"information management services, inc.",211490.0
infoscitex corporation,482119.33
"infotech soft, inc.",329377.0
inframat corporation,199164.5
inhibikase therapeutics,852907.5
"inner health, inc.",100000.0
innersea technology,449383.5
"innersea technology, inc",530913.25
"innosense, llc",538246.67
inotek pharmaceuticals corporation,399704.59
"insight neuroimaging systems, llc",118199.0
"insight surgical technologies, llc",223861.0
institute for basic res in dev disabil,173532.84
institute for cancer research,201315.5
institute for circadian physiology,109757.33
"institute for cognitive prosthetics, inc",154483.6
institute for genomic research,102275.38
institute for molecular medicine,401777.15
institute for neurodegenerative disordrs,71789.8
"institute of advanced sciences, inc.",55000.0
institute of biology and exper medicine,32233.33
"institute of molecular biology, inc.",75000.0
institute of neurological research,27000.0
instituto de investigaciones biologicas,93276.0
"intan technologies, llc",274869.4
"intan technologies, llc.",78308.0
integra lifesciences corporation,99998.0
integrated biosening technologies,100000.0
integrated nonclinical de,48800.0
"integrated tissue dynamics, llc",147699.5
intelligent fiber optic systems corp,149990.0
intelligent hearing systems,250096.0
"intelligent optical systems, inc.",58025.0
interactive biologics associates,99927.0
"interactive drama, inc.",74940.0
international business machines corp,218749.0
international computer science institute,175176.0
international neuromodulation society,8500.0
international society/ neuroethology,6666.67
"intraimmune therapies, inc.",175000.0
"inventive software solutions, inc",282590.0
invivo corporation,154673.67
"iowa cancer research foundation, inc.",133592.67
iowa state university,245684.94
"iq solutions, inc.",1175608.67
"irisys, inc.",99462.0
"iron horse diagnostics, inc.",280350.0
irvine sensors corporation,237286.0
"isoplexis, inc.",224895.0
"iss, inc.",425595.2
istituto scientifico san raffaele,234900.0
"itn energy systems, inc.",249362.0
j. david gladstone institutes,352913.59
jackson laboratory,301710.6
jackson state university,127375.0
jacksonville state university,5757.0
james madison university,44490.0
"jasin discovery solutions, inc.",282975.0
jfk medical center,239797.43
"john b. pierce laboratory, inc.",375221.18
john p. robarts research institute,3769477.17
johns hopkins university,328802.41
joslin diabetes center,340500.33
"js genetics, inc.",262728.5
"jt pharmaceuticals, inc.",779711.17
"k and k biosciences, inc.",353232.5
"kab laboratories, inc.",75004.0
"kai research, inc",142961.62
kaiser foundation research institute,724793.44
kansas state university,181910.89
karolinska institute,213671.83
keck graduate inst of applied life scis,64569.0
kennesaw state university,378561.0
kent state university,264162.18
kent state university at kent,219790.73
"kessler foundation, inc.",156038.75
keystone center,7600.0
keystone symposia,9010.17
"kinetic muscles, inc.",2745978.0
king's college london,128250.0
"kitware, inc.",335425.75
kk biomed corporation,312775.67
"knopp biosciences, llc",575693.33
koester performance research,84949.25
koronis biomedical technologies corporat,132851.67
"kosan biosciences, inc.",99974.5
kovogen,358851.0
kra corporation,158903.67
"l2 diagnostics, llc",268211.0
la biomed res inst/ harbor ucla med ctr,257692.46
la jolla infectious disease institute,258796.56
la jolla inst for allergy & immunolgy,82781.0
la jolla inst for molecular medicine,262347.67
lake forest college,95016.14
lankenau institute for medical research,96042.0
"lasmed, llc",205303.5
laval university,110644.95
"layton bioscience, inc.",215450.75
"lcg systems, llc",50008.0
lehdar systems corporation,175350.0
lehigh university,274017.85
leiden university,119933.5
leiden university medical center,185437.67
"lena biosciences, inc.",219926.5
lenox laser,132000.0
lewis and clark college,161098.33
"lickenbrock technologies, llc",220548.0
"life systems, inc.",212541.0
lifecell corporation,550408.0
"lifequest medical, inc.",74992.0
"lifesensors, inc.",160946.5
lifespan technology,80994.0
"lifesplice pharma, llc",517349.0
"lin, jiunn",40000.0
lincoln university,140770.09
"lipitek international, inc.",87334.67
"lipogene company, inc.",536538.75
lockheed martin aculight corporation,298646.75
loma linda university,367479.25
long beach memorial medical center,46492.43
long island jewish medical center,78834.25
louisiana state univ a&m col baton rouge,249000.0
louisiana state univ agricultural center,50077.0
louisiana state univ hsc new orleans,185693.61
louisiana state univ hsc shreveport,191830.3
louisiana state univ-univ of new orleans,136528.0
louisiana tech university,133654.0
lovelace biomedical & environmental res,2294391.12
lovelace respiratory research institute,156846.5
loyola university chicago,169880.66
loyola university of chicago,77888.5
"lpath therapeutics, inc.",223988.0
lsu health sciences center,253882.1
lsu pennington biomedical research ctr,244928.11
ludwig institute  for cancer res  ltd,334526.9
ludwig institute for cancer research,360630.86
"luminomics, inc.",217535.0
"luna innovations, inc.",160733.0
lund university,114610.64
lurie children's hospital of chicago,244996.43
lynx design,241498.0
"maas biolab, inc.",532089.75
macalester college,425666.0
magee-women's hospital of upmc,148992.0
magee-women's res inst and foundation,248209.17
"magnesensors, inc.",249092.0
maimonides medical center (brooklyn),120011.25
maine medical center,334724.25
makerere university,264159.33
mallory institute of pathology,105399.83
"mandalmed, inc.",135801.0
"marblehead medical, llc",478694.0
march of dimes birth defects foundation,209358.12
marine biological laboratory,55446.18
"marine biomedical technologies, inc.",127938.0
marker gene technologies,439533.5
marquette university,208302.52
marshall university,94796.6
marshfield clinic research foundation,55733.33
"maryland medical research institute, inc",343555.8
massachusetts eye and ear infirmary,424003.55
massachusetts general hosp,432308.81
massachusetts general hospital,395104.92
massachusetts institute of technology,275421.69
massey university,136836.0
"mast therapeutics, inc.",249558.0
"matrical, inc.",166041.0
max delbrueck centrum for molecular med,29141.0
max planck florida corporation,408208.06
max planck institute for biophys chem,7175.0
max planck institute for medical res,28268.0
"maxwell sensors, inc.",318617.33
mayo clinic,438692.73
mayo clinic  jacksonville,626608.14
mayo clinic arizona,326484.83
"mayo clinic coll of med, jacksonville",445461.48
"mayo clinic coll of med, mayo clinic az",121057.0
"mayo clinic coll of medicine, rochester",333016.07
mayo clinic rochester,387902.96
"mb research laboratories, inc.",562935.0
mc laughlin research institute,741470.92
"mc lean hospital (belmont, ma)",324700.4
mcgill university,142532.24
"mcguire research institute, inc.",64674.67
mclean hospital,408293.13
mcmaster university,338891.89
mcp hahnemann university,178735.82
mdb inc,52484.0
"medical advances, inc.",99997.0
medical college of georgia (mcg),200163.07
medical college of wisconsin,256590.51
medical diagnostic research foundation,247104.5
"medical directions, inc.",255939.0
"medical metrics, inc.",184296.0
medical systems corporation,219011.67
"medical toolworks, inc.",371729.67
medical university of south carolina,329838.16
"medigenix, llc",116835.0
"medosome biotec, llc",217801.0
medstar health research institute,359907.67
medstar research institute,587327.33
meharry medical college,377403.67
mercer university macon,144103.12
"metabiologics, inc.",92185.0
"metabolex, inc.",104166.67
"metactive medical, inc.",220775.0
methodist hospital (houston),645938.0
methodist hospital research institute,277061.67
metrohealth medical center,211661.29
miami university oxford,190754.4
michigan state university,207578.14
michigan technological university,116542.33
"micro probe, inc.",97768.0
"micro-leads, inc.",350526.0
"microbiological associates, inc.",159454.33
microconnex corporation,250392.67
"microfab technologies, inc.",283332.33
"microhelix, inc.",356832.0
microminiature interconnect technologies,49612.0
"microprobes for life science, inc.",433811.33
"microstrain, inc.",236419.25
"microtech designs, inc.",74967.0
"microtransponder, inc.",378353.25
mid-hudson family health institute,179147.3
middlebury college,31944.0
midwest research institute,164212.43
midwestern university,92607.5
"miicro, inc",315711.0
mimosa acoustics,182029.0
"mind probes, inc.",102963.25
"minneapolis medical research fdn, inc.",456916.07
minnesota center for health care ethics,174827.0
minnesota epilepsy group,50382.5
"minnesota epilepsy group, pa",
miriam hospital,247058.67
mirus bio corporation,203569.0
mississippi state university,377391.89
"mitokinin, inc.",225000.0
mitokor,273494.0
"mitovation, inc.",248042.0
"mmtc, inc.",189148.5
"moberg medical, inc.",100000.0
"moberg research, inc.",329636.82
"moco, inc.",194053.5
"modular bionics, inc.",179229.33
moebius syndrome foundation,9000.0
"molecular dynamics, inc.",409130.0
"molecular insight pharmaceuticals, inc.",190643.0
"molecular neuroimaging, llc",433853.64
"molecules for health, inc.",100000.0
monash university,136638.33
"monitec, inc.",100000.0
"montana molecular, llc",255969.12
montana state university (bozeman),162182.54
montana state university - bozeman,237666.52
montana state university -billings,364270.0
montclair state university,177554.67
"montefiore medical center (bronx, ny)",611153.35
montreal general hospital,134298.8
morehouse college,310201.0
morehouse school of medicine,437653.83
moss rehabilitation hospital,206244.42
"motogen, inc.",110134.5
mount desert island biological lab,134490.33
mount sinai medical center (miami beach),78930.0
mount sinai school of medicine,315857.39
mount sinai school of medicine of cuny,250767.32
mount sinai school of medicine of nyu,355634.13
"mr-link, llc",129162.5
mt sinai hosp-samuel lunenfeld res inst,227761.0
"mucolipidosis type iv foundation, inc.",14444.0
murray state university,92206.0
"mvbs, inc.",50000.0
myneurolab.com,172211.0
"mynosys cellular devices, inc.",191178.0
"myolex, inc.",491312.0
"myomics, inc.",363966.67
